"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 10:57:35 CST 2023","Mon Nov 27 10:57:35 CST 2023","85","","test_job","TestAppStatistics","","","应用-统计明细-按照计算类型：“远算云”过滤","
        [应用]-[统计明细]
        按照计算类型：“远算云”过滤查询应用数据
        "
"passed","Mon Nov 27 10:58:04 CST 2023","Mon Nov 27 10:58:04 CST 2023","84","","test_job","TestJobManagement","","","按照“用户名称”过滤","
        按照用户名称查询数据
        选择用户名称：yskj
        "
"passed","Mon Nov 27 10:57:33 CST 2023","Mon Nov 27 10:57:33 CST 2023","84","","test_job","TestLocalApp","","","添加本地应用时：版本为空","
        不输入版本
        "
"broken","Mon Nov 27 10:58:02 CST 2023","Mon Nov 27 10:58:02 CST 2023","92","","test_job","TestFileManagement","","","文件覆盖","
        home目录下新建文件夹/test-mkdir，在文件夹/test-mkdir下上传文件bluntbody.sim(3.98MB)，
        后续继续在此文件夹下上传同名的文件bluntbody.sim(0B)，
        选择覆盖选中，
        预期：上传成功，文件展示为bluntbody.sim(0B)
        "
"passed","Mon Nov 27 10:57:34 CST 2023","Mon Nov 27 10:57:35 CST 2023","83","","test_job","TestAppStatistics","","","应用-统计总览-按照计算类型：“本地”过滤","
        [应用]-[统计总览]
        按照计算类型：“本地”过滤查询应用数据
        "
"passed","Mon Nov 27 10:58:04 CST 2023","Mon Nov 27 10:58:04 CST 2023","78","","test_job","TestJobManagement","","","按照“计算状态、作业名称、队列名称”组合过滤","
        组合查询
        选择计算状态：已终止
        选择作业名称：test
        选择队列名称：test
        "
"failed","Mon Nov 27 10:58:01 CST 2023","Mon Nov 27 10:58:01 CST 2023","87","","test_job","TestFileManagement","","","新建文件夹","
        新建文件夹：/test-mkdir
        "
"passed","Mon Nov 27 10:57:11 CST 2023","Mon Nov 27 10:57:31 CST 2023","19564","","test_job","TestLocalApp","","","添加本地应用模版","
        添加应用成功
        "
"failed","Mon Nov 27 10:58:02 CST 2023","Mon Nov 27 10:58:03 CST 2023","73","","test_job","TestFileManagement","","","文件夹重命名","
        文件夹重命名：/test-mkdir 重命名为：/test-rm
        "
"passed","Mon Nov 27 10:57:33 CST 2023","Mon Nov 27 10:57:33 CST 2023","89","","test_job","TestLocalApp","","","添加本地应用时：类型为空","
        不输入类型
        "
"passed","Mon Nov 27 10:57:31 CST 2023","Mon Nov 27 10:57:31 CST 2023","95","","test_job","TestLocalApp","","","发布本地应用","
        发布应用
        "
"failed","Mon Nov 27 10:58:03 CST 2023","Mon Nov 27 10:58:03 CST 2023","74","","test_job","TestFileManagement","","","移动场景测试：文件夹移动到源路径","
        移动文件夹：/home/test-rm/ 移动到/home/test-rm
        "
"passed","Mon Nov 27 10:57:36 CST 2023","Mon Nov 27 10:57:36 CST 2023","259","","test_job","TestReport","","","内存平均利用率","
        内存平均利用率
        "
"passed","Mon Nov 27 10:57:11 CST 2023","Mon Nov 27 10:57:11 CST 2023","87","","test_login","TestLogin","","","正确的用户名、密码登录","
        正确的用户名、密码
        "
"passed","Mon Nov 27 10:57:35 CST 2023","Mon Nov 27 10:57:35 CST 2023","91","","test_job","TestUserStatistics","","","用户-统计明细-按照计算类型：“远算云”过滤","
        [用户]-[统计明细]
        按照计算类型：“远算云”、用户名称：“yskj” 过滤查询用户数据
        "
"failed","Mon Nov 27 10:58:05 CST 2023","Mon Nov 27 10:58:05 CST 2023","348","","test_job","TestJobSubmit","","","云端作业单个提交","
        设置主文件--从我的文件/test-submit(请勿删除！！！)链接文件
        参数配置
        云端作业单个提交
        "
"passed","Mon Nov 27 10:57:36 CST 2023","Mon Nov 27 10:57:36 CST 2023","86","","test_job","TestReport","","","核时使用情况","
        核时使用情况
        "
